コード,会社名,会社名（カナ）,会社名（英語）,銘柄名,所在地,連結の有無,市場,33業種コード,33業種区分,17業種コード,17業種区分,決算日,総資産（百万）,売上高（百万）
9247,ＴＲＥホールディングス株式会社,ティーアールイーホールディングスカブシキカイシャ,TRE HOLDINGS CORPORATION,ＴＲＥホールディングス,千代田区大手町一丁目７番２号東京サンケイビル１５階,有,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,3月31日,0,0
9248,人・夢・技術グループ株式会社,ヒトユメギジュツグループカブシキガイシャ,"People, Dreams & Technologies Group Co., Ltd.",人・夢・技術グループ,中央区日本橋蛎殻町一丁目２０番４号,有,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,9月30日,0,0
9249,日本エコシステム株式会社,ニホンエコシステムカブシキガイシャ,,日本エコシステム,一宮市本町二丁目２番１１号　ＪＥＳ一宮ビル,有,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,9月30日,6020,6985
9250,株式会社ＧＲＣＳ,カブシキガイシャジーアールシーエス,GRCS Inc.,ＧＲＣＳ,千代田区五番町１番９号,無,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,11月30日,1273,1758
9251,株式会社ＡＢ＆Ｃｏｍｐａｎｙ,カブシキガイシャエービーアンドカンパニー,"AB&Company Co.,Ltd.",ＡＢ＆Ｃｏｍｐａｎｙ,新宿区新宿二丁目１６番６号　新宿イーストスクエアビル６階,有,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,10月末日,19339,10911
9252,株式会社ラストワンマイル,カブシキガイシャラストワンマイル,"Last One Mile Co.,Ltd.",ラストワンマイル,豊島区東池袋四丁目２１番１号アウルタワー３階,有,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,8月31日,2786,8318
9253,スローガン株式会社,スローガンカブシキガイシャ,Slogan Inc.,スローガン,港区南青山二丁目１１番１７号,有,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,2月末日,1172,1311
9254,株式会社ラバブルマーケティンググループ,カブシキカイシャラバブルマーケティンググループ,"Lovable Marketing Group, Inc.",ラバブルマーケティンググループ,東京都港区東新橋１－５－２,有,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,3月末日,782,936
9256,株式会社サクシード,カブシキガイシャサクシード,"Succeed co.,ltd.",サクシード,新宿区高田馬場一丁目４番１５号,無,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,3月31日,1270,1991
9257,ＹＣＰホールディングス（グローバル）リミテッド,ワイシーピーホールディングスグローバルリミテッド,,ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,シンガポール共和国フレイザー・ストリート３、デュオ・タワー＃０５－２１,有,グロース（外国株式）,9050,サービス業,10,情報通信・サービスその他,12月31日,0,0
9258,株式会社ＣＳ－Ｃ,カブシキガイシャシーエスシー,,ＣＳ－Ｃ,港区芝浦四丁目１３番２３号,無,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,9月末日,1041,1907
9259,株式会社タカヨシ,カブシキガイシャタカヨシ,"TAKAYOSHI, INC.",タカヨシ,千葉市美浜区中瀬一丁目３番地,無,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,9月30日,4779,5528
9260,西本Ｗｉｓｍｅｔｔａｃホールディングス株式会社,ニシモトウィズメタックホールディングスカブシキガイシャ,,西本Ｗｉｓｍｅｔｔａｃホールディングス,神戸市中央区磯辺通四丁目１番３８号,有,プライム（内国株式）,6050,卸売業,13,商社・卸売,12月31日,141769,213248
9262,株式会社シルバーライフ,カブシキカイシャシルバーライフ,"SILVER LIFE CO., LTD.",シルバーライフ,新宿区西新宿４－３２－４　ハイネスロフティ２階,無,プライム（内国株式）,6100,小売業,14,小売,7月末日,8262,10050
9263,株式会社ビジョナリーホールディングス,カブシキカイシャビジョナリーホールディングス,"VISIONARYHOLDINGS CO. , LTD.",ビジョナリーホールディングス,中央区日本橋堀留町１丁目９番１１号ＮＥＷＳ日本橋堀留町６階,有,スタンダード（内国株式）,6100,小売業,14,小売,4月末日,19874,26059
9264,ポエック株式会社,ポエックカブシキカイシャ,"Puequ Co., LTD.",ポエック,福山市南蔵王町二丁目１番１２号,有,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,8月31日,8535,6256
9265,ヤマシタヘルスケアホールディングス株式会社,ヤマシタヘルスケアホールディングスカブシキガイシャ,,ヤマシタヘルスケアホールディングス,福岡市博多区下川端町２番１号,有,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,5月31日,24322,70131
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ株式会社,ゲンキードラッグストアーズカブシキガイシャ,"Genky DrugStores Co., Ltd.",Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,坂井市丸岡町下久米田３８字３３番,有,プライム（内国株式）,6100,小売業,14,小売,6月20日,90795,142376
9268,株式会社オプティマスグループ,カブシキガイシャオプティマスグループ,OPTIMUS GROUP COMPANY LIMITED,オプティマスグループ,港区芝二丁目５番６号,有,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,3月末日,30692,24920
9270,バリュエンスホールディングス株式会社,バリュエンスホールディングスカブシキカイシャ,Valuence Holdings Inc.,バリュエンスホールディングス,港区港南１丁目２番７０号品川シーズンテラス２８階,有,グロース（内国株式）,6050,卸売業,13,商社・卸売,8月31日,18727,52512
9271,株式会社和心,カブシキガイシャワゴコロ,,和心,渋谷区千駄ヶ谷３－２０－１２,無,グロース（内国株式）,6100,小売業,14,小売,12月末日,566,902
9272,ブティックス株式会社,ブティックスカブシキガイシャ,"Boutiques, Inc.",ブティックス,港区三田１－４－２８,無,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,3月31日,1674,1277
9273,コーア商事ホールディングス株式会社,コーアショウジホールディングスカブシキカイシャ,"KOA SHOJI HOLDINGS CO.,LTD.",コーア商事ホールディングス,横浜市港北区日吉七丁目１３－１５,有,プライム（内国株式）,6050,卸売業,13,商社・卸売,6月末日,24804,17816
9274,ＫＰＰグループホールディングス株式会社,ケーピーピーグループホールディングスカブシキガイシャ,"KPP GROUP HOLDINGS CO., LTD.",ＫＰＰグループホールディングス,中央区明石町６番２４号,有,プライム（内国株式）,6050,卸売業,13,商社・卸売,3月31日,275119,430404
9275,株式会社ナルミヤ・インターナショナル,カブシキガイシャナルミヤインターナショナル,,ナルミヤ・インターナショナル,港区芝公園二丁目４番１号,無,スタンダード（内国株式）,6100,小売業,14,小売,2月末日,14636,29511
9278,ブックオフグループホールディングス株式会社,ブックオフグループホールディングスカブシキガイシャ,,ブックオフグループホールディングス,相模原市南区古淵二丁目１４番２０号,有,プライム（内国株式）,6100,小売業,14,小売,5月31日,40321,93597
