コード,会社名,会社名（カナ）,会社名（英語）,銘柄名,所在地,連結の有無,市場,33業種コード,33業種区分,17業種コード,17業種区分,決算日,総資産（百万）,売上高（百万）
1301,株式会社　極洋,カブシキガイシャ　キョクヨウ,"KYOKUYO CO., LTD.",極洋,港区赤坂三丁目３番５号,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日,116331,249197
1332,日本水産株式会社,ニッポンスイサンカブシキガイシャ,"Nippon Suisan Kaisha, Ltd.",日本水産,港区西新橋一丁目３番１号,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日,475468,615044
1333,マルハニチロ株式会社,マルハニチロカブシキガイシャ,,マルハニチロ,江東区豊洲三丁目２番２０号,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日,532866,809050
1375,株式会社雪国まいたけ,カブシキカイシャユキグニマイタケ,"YUKIGUNI MAITAKE CO.,LTD.",雪国まいたけ,南魚沼市余川８９番地,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日,35644,51380
1376,カネコ種苗株式会社,カネコシュビョウカブシキガイシャ,"KANEKO SEEDS CO., LTD.",カネコ種苗,前橋市古市町一丁目５０番地１２,有,スタンダード（内国株式）,50,水産・農林業,1,食品,5月31日,47452,60779
1377,株式会社　サカタのタネ,カブシキガイシャ　サカタノタネ,SAKATA SEED CORPORATION,サカタのタネ,横浜市都筑区仲町台２－７－１,有,プライム（内国株式）,50,水産・農林業,1,食品,5月31日,133077,69218
1379,ホクト株式会社,ホクトカブシキガイシャ,HOKUTO CORPORATION,ホクト,長野市南堀１３８番地１,有,プライム（内国株式）,50,水産・農林業,1,食品,3月31日,100237,73889
1380,株式会社秋川牧園,カブシキガイシャアキカワボクエン,,秋川牧園,山口市仁保下郷１０３１７番地,有,スタンダード（内国株式）,50,水産・農林業,1,食品,3月31日,5378,6417
1381,株式会社アクシーズ,カブシキガイシャアクシーズ,"AXYZ Co., Ltd",アクシーズ,鹿児島市草牟田二丁目１番８号,有,スタンダード（内国株式）,50,水産・農林業,1,食品,6月30日,20197,21160
1382,株式会社ホーブ,カブシキガイシャホーブ,"HOB Co.,Ltd.",ホーブ,上川郡東神楽町１４号北１番地,有,スタンダード（内国株式）,50,水産・農林業,1,食品,6月30日,974,3039
1383,ベルグアース株式会社,ベルグアースカブシキガイシャ,"Berg Earth co.,Ltd.",ベルグアース,宇和島市津島町北灘甲８８番地１,無,スタンダード（内国株式）,50,水産・農林業,1,食品,10月31日,5094,5372
1384,株式会社　ホクリヨウ,カブシキガイシャホクリヨウ,"Hokuryo Co., Ltd.",ホクリヨウ,札幌市白石区中央二条三丁目６番１５号,有,スタンダード（内国株式）,50,水産・農林業,1,食品,3月31日,14252,13060
1400,ルーデン・ホールディングス株式会社,ルーデンホールディングスカブシキガイシャ,"RUDEN HOLDINGS Co.,Ltd.",ルーデン・ホールディングス,渋谷区桜丘町２０番１号,有,グロース（内国株式）,2050,建設業,3,建設・資材,12月31日,3008,2527
1401,株式会社エムビーエス,カブシキガイシャエムビーエス,"mbs,inc.",エムビーエス,宇部市西岐波１１７３番地１６２,無,グロース（内国株式）,2050,建設業,3,建設・資材,5月31日,3740,3439
1407,株式会社ウエストホールディングス,カブシキガイシャウエストホールディングス,West Holdings corporation,ウエストホールディングス,広島市西区楠木町一丁目１５番２４号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,8月31日,97278,67938
1414,ショーボンドホールディングス株式会社,ショーボンドホールディングスカブシキガイシャ,"SHO-BOND Holdings Co.,  Ltd.",ショーボンドホールディングス,中央区日本橋箱崎町７番８号,有,プライム（内国株式）,2050,建設業,3,建設・資材,6月30日,109807,80065
1417,株式会社ミライト・ワン,カブシキガイシャミライトワン,MIRAIT ONE Corporation,ミライト・ワン,江東区豊洲五丁目６番３６号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,358751,463744
1418,インターライフホールディングス株式会社,インターライフホールディングスカブシキガイシャ,,インターライフホールディングス,中央区銀座六丁目１３番１６号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,2月末日,8327,14823
1419,タマホーム株式会社,タマホームカブシキガイシャ,"Tama Home Co., Ltd.",タマホーム,港区高輪３丁目２２番９号,有,プライム（内国株式）,2050,建設業,3,建設・資材,5月31日,100216,218092
1420,サンヨーホームズ株式会社,サンヨーホームズカブシキカイシャ,Sanyo Homes Corporation,サンヨーホームズ,大阪市西区西本町一丁目４番１号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,52611,53487
1429,株式会社日本アクア,カブシキガイシャニホンアクア,"Nippon Aqua Co., Ltd.",日本アクア,港区港南二丁目１６番２号,無,プライム（内国株式）,2050,建設業,3,建設・資材,12月31日,18279,23903
1430,ファーストコーポレーション株式会社,ファーストコーポレーションカブシキカイシャ,First-corporation Inc.,ファーストコーポレーション,杉並区荻窪四丁目３０番１６号,無,プライム（内国株式）,2050,建設業,3,建設・資材,5月31日,17427,20919
1431,株式会社Ｌｉｂ　Ｗｏｒｋ,カブシキガイシャリブワーク,"Lib Work Co.,Ltd.",Ｌｉｂ　Ｗｏｒｋ,山鹿市鍋田１７８番地１,有,グロース（内国株式）,2050,建設業,3,建設・資材,6月末日,7604,9404
1433,ベステラ株式会社,ベステラカブシキガイシャ,"BESTERRA CO., LTD",ベステラ,江東区平野三丁目２番６号,有,プライム（内国株式）,2050,建設業,3,建設・資材,1月31日,6030,3682
1434,ＪＥＳＣＯホールディングス株式会社,ジェスコホールディングスカブシキガイシャ,"JESCO Holdings, Inc.",ＪＥＳＣＯホールディングス,新宿区中落合三丁目２５番１４号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,8月31日,11795,9268
1435,株式会社Ｒｏｂｏｔ　Ｈｏｍｅ,カブシキガイシャロボットホーム,"Robot Home, Inc.",Ｒｏｂｏｔ　Ｈｏｍｅ,渋谷区恵比寿南３丁目４番１４号,有,プライム（内国株式）,2050,建設業,3,建設・資材,12月末日,9905,4090
1436,株式会社フィット,カブシキカイシャフィット,,フィット,板野郡松茂町中喜来字群恵３９番地１,有,グロース（内国株式）,2050,建設業,3,建設・資材,4月30日,8224,5990
1438,株式会社岐阜造園,カブシキガイシャギフゾウエン,,岐阜造園,岐阜市茜部菱野四丁目７９番地の１,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,9月末日,4263,4309
1439,株式会社安江工務店,カブシキガイシャヤスエコウムテン,,安江工務店,名古屋市中区栄二丁目２番２３号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,12月31日,4175,6913
1443,技研ホールディングス株式会社,ギケンホールディングスカブシキガイシャ,"Giken Holdings Co., Ltd.",技研ホールディングス,千代田区神田東松下町１７番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,16288,9361
1444,株式会社ニッソウ,カブシキガイシャニッソウ,"Nissou Co.,Ltd.",ニッソウ,世田谷区経堂１－８－１７,無,グロース（内国株式）,2050,建設業,3,建設・資材,7月末日,1255,2788
1446,株式会社キャンディル,カブシキガイシャキャンディル,"CANDEAL Co., Ltd.",キャンディル,新宿区北山伏町１番１１号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,9月末日,7366,11220
1447,ＩＴｂｏｏｋホールディングス株式会社,アイティブックホールディングスカブシキガイシャ,"ITbook Holdings Co.,LTD",ＩＴｂｏｏｋホールディングス,江東区豊洲三丁目２番２４号,有,グロース（内国株式）,2050,建設業,3,建設・資材,3月31日,15286,22830
1450,田中建設工業株式会社,タナカケンセツコウギョウカブシキガイシャ,,田中建設工業,港区新橋四丁目２４番１１号,無,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,7009,9011
1451,株式会社ＫＨＣ,カブシキガイシャケイエイチシー,KHC Ltd.,ＫＨＣ,明石市花園町２番地の２,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,14781,11632
1491,中外鉱業株式会社,チュウガイコウギョウカブシキガイシャ,"Chugai Mining Co.,Ltd.",中外鉱業,千代田区丸の内２丁目４番１号,有,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,3月31日,8268,39452
1514,住石ホールディングス株式会社,スミセキホールディングスカブシキガイシャ,"Sumiseki Holdings, Inc.",住石ホールディングス,港区新橋６－１６－１２,有,スタンダード（内国株式）,1050,鉱業,2,エネルギー資源,3月31日,17049,9781
1515,日鉄鉱業株式会社,ニッテツコウギョウカブシキガイシャ,"Nittetsu Mining CO.,Ltd.",日鉄鉱業,千代田区丸の内二丁目３番２号,有,プライム（内国株式）,1050,鉱業,2,エネルギー資源,3月31日,188735,119159
1518,三井松島ホールディングス株式会社,ミツイマツシマホールディングスカブシキガイシャ,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",三井松島ホールディングス,福岡市中央区大手門一丁目１番１２号,有,プライム（内国株式）,1050,鉱業,2,エネルギー資源,3月31日,70618,57378
1605,株式会社ＩＮＰＥＸ,カブシキガイシャインペックス,INPEX CORPORATION,ＩＮＰＥＸ,港区赤坂五丁目３番１号,有,プライム（内国株式）,1050,鉱業,2,エネルギー資源,12月31日,5158196,1244369
1662,石油資源開発株式会社,セキユシゲンカイハツカブシキガイシャ,"Japan Petroleum Exploration Co., Ltd.",石油資源開発,千代田区丸の内一丁目７番１２号,有,プライム（内国株式）,1050,鉱業,2,エネルギー資源,3月31日,624786,240078
1663,Ｋ＆Ｏエナジーグループ株式会社,ケイアンドオーエナジーグループカブシキカイシャ,K&O Energy Group Inc.,Ｋ＆Ｏエナジーグループ,茂原市茂原６６１番地,有,プライム（内国株式）,1050,鉱業,2,エネルギー資源,12月末日,99096,66070
1711,株式会社ＳＤＳホールディングス,カブシキガイシャショウデンシャ,"SDS HOLDINGS Co.,Ltd.",ＳＤＳホールディングス,港区東新橋二丁目１１番７号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,277,844
1712,株式会社ダイセキ環境ソリューション,カブシキガイシャ　ダイセキカンキョウソリューション,"Daiseki Eco. Solution Co.,Ltd.",ダイセキ環境ソリューション,名古屋市瑞穂区明前町８番１８号,有,プライム（内国株式）,2050,建設業,3,建設・資材,2月末日,21275,14906
1716,第一カッター興業株式会社,ダイイチカッターコウギョウカブシキガイシャ,DAI-ICHI CUTTER KOGYO K.K.,第一カッター興業,茅ヶ崎市萩園８３３番地,有,プライム（内国株式）,2050,建設業,3,建設・資材,6月30日,17991,19337
1717,明豊ファシリティワークス株式会社,メイホウファシリティワークスカブシキガイシャ,Meiho Facility Works Ltd.,明豊ファシリティワークス,千代田区平河町二丁目７番９号,無,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,3月31日,5504,4240
1718,美樹工業株式会社,ミキコウギョウカブシキガイシャ,"MIKIKOGYO CO.,LTD.",美樹工業,姫路市東延末二丁目５０番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,12月31日,30561,26370
1719,株式会社安藤・間,カブシキガイシャアンドウハザマ,HAZAMA ANDO CORPORATION,安藤・間,港区東新橋１丁目９番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,339387,352146
1720,東急建設株式会社,トウキュウケンセツカブシキガイシャ,"TOKYU CONSTRUCTION CO.,LTD.",東急建設,渋谷区渋谷一丁目１６番１４号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,226568,231483
1721,コムシスホールディングス株式会社,コムシスホールディングスカブシキガイシャ,COMSYS Holdings Corporation,コムシスホールディングス,品川区東五反田二丁目１７番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,479419,563252
1723,日本電技株式会社,ニホンデンギカブシキガイシャ,"NIHON DENGI CO., LTD.",日本電技,墨田区両国二丁目１０番１４号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,37628,34079
1724,シンクレイヤ株式会社,シンクレイヤカブシキガイシャ,SYNCLAYER INC.,シンクレイヤ,名古屋市中区千代田二丁目２１番１８号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,12月31日,10335,13061
1726,株式会社ビーアールホールディングス,カブシキガイシャビーアールホールディングス,Br.Holdings Corporation,ビーアールホールディングス,広島市東区光町二丁目６番３１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,32649,38797
1730,麻生フオームクリート株式会社,アソウフオームクリートカブシキガイシャ,"ASO FOAM CRETE Co.,Ltd.",麻生フオームクリート,川崎市中原区苅宿３６番１号,無,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,3546,4623
1736,株式会社　オーテック,カブシキガイシャ　オーテック,OTEC CORPORATION,オーテック,江東区東陽２－４－２,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,26566,23458
1739,株式会社メルディアＤＣ,カブシキガシャメルディアディーシー,"MELDIA Development & Construction CO., LTD.",メルディアＤＣ,京都市山科区椥辻中在家町８番地１,無,グロース（内国株式）,2050,建設業,3,建設・資材,6月30日,24580,27541
1743,コーアツ工業株式会社,コーアツコウギョウカブシキガイシャ,"KOATSU KOGYO CO., LTD.",コーアツ工業,鹿児島市伊敷五丁目１７番５号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,9月30日,12266,10547
1757,中小企業ホールディングス株式会社,チュウショウキギョウホールディングス,"Small and medium sized Enterprises Holdings,Inc.",中小企業ホールディングス,千代田区神田錦町三丁目４番地２,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,1476,1329
1758,太洋基礎工業株式会社,タイヨウキソコウギョウカブシキガイシャ,"Taiyo Kisokogyo Co.,Ltd.",太洋基礎工業,名古屋市中川区柳森町１０７番地,無,スタンダード（内国株式）,2050,建設業,3,建設・資材,1月31日,10074,13308
1762,株式会社髙松コンストラクショングループ,カブシキガイシャタカマツコンストラクショングループ,TAKAMATSU CONSTRUCTION GROUP,高松コンストラクショングループ,大阪市淀川区新北野一丁目２番３号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,220831,283080
1764,工藤建設株式会社,クドウケンセツカブシキガイシャ,KUDO CORPORATION,工藤建設,横浜市青葉区新石川四丁目３３番地１０,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,6月30日,13560,19801
1766,東建コーポレーション株式会社,トウケンコーポレーションカブシキガイシャ,TOKEN CORPORATION,東建コーポレーション,名古屋市中区丸の内二丁目１番３３号,有,プライム（内国株式）,2050,建設業,3,建設・資材,4月30日,194424,309809
1768,株式会社ソネック,カブシキガイシャ　ソネック,SONEC CORPORATION,ソネック,高砂市曽根町２２５７番地の１,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,11257,16298
1770,藤田エンジニアリング株式会社,フジタエンジニアリングカブシキガイシャ,"FUJITA ENGINEERING CO.,LTD.",藤田エンジニアリング,高崎市飯塚町１１７４番地５,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,26049,26250
1773,ワイ・ティー・エル・コーポレーション・バーハッド,ワイティーエルコーポレーションバーハッド,,ワイ・ティー・エル・コーポレーション・バーハッド,マレーシア　５５１００　クアラルンプール、ジャラン・ブキット・ビンタン　Ｎｏ．２０５、メナラ・ワイ・ティー・エル３３階,有,プライム（外国株式）,2050,建設業,3,建設・資材,6月30日,0,0
1775,富士古河Ｅ＆Ｃ株式会社,フジフルカワイーアンドシーカブシキガイシャ,FUJI FURUKAWA ENGINEERING & CONSTRUCTION CO.LTD.,富士古河Ｅ＆Ｃ,川崎市幸区堀川町５８０番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,56558,74168
1776,三井住建道路株式会社,ミツイスミケンドウロカブシキガイシャ,"SUMIKEN MITSUI ROAD CO.,LTD.",三井住建道路,新宿区西新宿６丁目２４番１号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,27548,33796
1780,株式会社　ヤマウラ,カブシキガイシャ　ヤマウラ,YAMAURA CORPORATION,ヤマウラ,駒ヶ根市北町２２番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,23614,24829
1783,株式会社アジアゲートホールディングス,カブシキガイシャ　アジアゲートホールディングス,"Asia Gate Holdings Co., Ltd.",アジアゲートホールディングス,港区赤坂五丁目３番１号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,9月30日,5291,6894
1786,オリエンタル白石株式会社,オリエンタルシライシカブシキガイシャ,Oriental Shiraishi Corporation,オリエンタル白石,江東区豊洲五丁目６番５２号　ＮＢＦ豊洲キャナルフロント　２Ｆ,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,55611,55224
1787,株式会社ナカボーテック,カブシキガイシャナカボーテック,"Nakabohtec Corrosion Protecting Co.,Ltd.",ナカボーテック,中央区新川二丁目５番２号,無,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,11251,13013
1788,株式会社三東工業社,カブシキガイシャサントウコウギョウシャ,"santo co.,ltd",三東工業社,甲賀郡信楽町大字江田６１０番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,6月30日,4865,7452
1789,株式会社ＥＴＳホールディングス,カブシキガイシャイーティーエスホールディングス,"ETS Holdings Co.,Ltd.",ＥＴＳホールディングス,豊島区南池袋一丁目１０番１３号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,9月30日,5063,4900
1793,株式会社大本組,カブシキガイシャオオモトグミ,"OHMOTO GUMI CO.,LTD",大本組,岡山市北区内山下１丁目１番１３号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,92530,73360
1795,株式会社マサル,カブシキガイシャマサル,MASARU CORPORATION,マサル,江東区佐賀一丁目９番１４号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,9月30日,7416,7794
1798,株式会社守谷商会,カブシキガイシャ　モリヤショウカイ,MORIYA CORPORATION,守谷商会,長野市南千歳町８７８番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,27443,36841
1799,第一建設工業株式会社,ダイイチケンセツコウギョウカブシキガイシャ,DAIICHI KENSETSU CORPORATION,第一建設工業,新潟市中央区八千代一丁目４番３４号,無,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,76208,54952
1801,大成建設株式会社,タイセイケンセツカブシキガイシャ,taisei corporation,大成建設,新宿区西新宿一丁目２５番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,1870622,1480141
1802,株式会社大林組,カブシキガイシャオオバヤシグミ,OBAYASHI  CORPORATION,大林組,港区港南二丁目１５番２号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,2272628,1766893
1803,清水建設株式会社,シミズケンセツカブシキガイシャ,SHIMIZU CORPORATION,清水建設,中央区京橋二丁目１６番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,1908674,1456473
1805,飛島建設株式会社,トビシマケンセツカブシキガイシャ,TOBISHIMA CORPORATION,飛島建設,港区港南１丁目８番１５号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,121598,117295
1807,株式会社佐藤渡辺,カブシキガイシャサトウワタナベ,"WATANABE SATO CO., LTD.",佐藤渡辺,港区南麻布一丁目１８番４号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,32378,39918
1808,株式会社　長谷工コーポレーション,カブシキガイシャ　ハセコウコーポレーション,HASEKO Corporation,長谷工コーポレーション,港区芝二丁目３２番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,953659,809438
1810,松井建設株式会社,マツイケンセツカブシキガイシャ,"MATSUI CONSTRUCTION CO., LTD.",松井建設,中央区新川一丁目１７番２２号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,74425,87579
1811,株式会社錢高組,カブシキガイシャゼニタカグミ,THE ZENITAKA CORPORATION,錢高組,大阪市西区西本町二丁目２番４号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,153361,105792
1812,鹿島建設株式会社,カジマケンセツカブシキガイシャ,KAJIMA  CORPORATION,鹿島建設,港区元赤坂一丁目３番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,2164806,1907176
1813,株式会社不動テトラ,カブシキガイシャフドウテトラ,Fudo Tetra Corporation,不動テトラ,中央区日本橋小網町７番２号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,54082,72308
1814,大末建設株式会社,ダイスエケンセツカブシキガイシャ,"DAISUE CONSTRUCTION CO., LTD.",大末建設,大阪市中央区久太郎町二丁目５番２８号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,40533,56490
1815,鉄建建設株式会社,テッケンケンセツカブシキガイシャ,TEKKEN CORPORATION,鉄建建設,千代田区神田三崎町二丁目５番３号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,185237,182020
1820,西松建設株式会社,ニシマツケンセツカブシキガイシャ,"Nishimatsu Construction  Co., Ltd.",西松建設,港区虎ノ門一丁目１７番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,472440,336241
1821,三井住友建設株式会社,ミツイスミトモケンセツカブシキガイシャ,"Sumitomo Mitsui Construction Co.,Ltd.",三井住友建設,中央区佃二丁目１番６号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,376826,421619
1822,大豊建設株式会社,ダイホウケンセツカブシキガイシャ,DAIHO CORPORATION,大豊建設,中央区新川一丁目２４番４号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,170899,161697
1826,佐田建設株式会社,サタケンセツカブシキガイシャ,"Sata Construction Co.,Ltd.",佐田建設,前橋市元総社町一丁目１番地の７,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,25199,31689
1827,株式会社ナカノフドー建設,カブシキガイシャナカノフドーケンセツ,NAKANO CORPORATION,ナカノフドー建設,千代田区九段北四丁目２番２８号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,84467,116046
1828,田辺工業株式会社,タナベコウギョウカブシキガイシャ,TANABE ENGINEERING CORPORATION,田辺工業,上越市大字福田２０番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,33307,38123
1833,株式会社奥村組,カブシキガイシャオクムラグミ,OKUMURA CORPORATION,奥村組,大阪市阿倍野区松崎町二丁目２番２号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,329005,220712
1835,東鉄工業株式会社,トウテツコウギョウカブシキガイシャ,"TOTETSU KOGYO CO.,LTD.",東鉄工業,新宿区信濃町３４番地,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,141701,132919
1840,株式会社土屋ホールディングス,カブシキガイシャツチヤホールディングス,"TSUCHIYA HOLDINGS CO., LTD.",土屋ホールディングス,札幌市北区北９条西３丁目７番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,10月31日,22198,31051
1841,サンユー建設株式会社,サンユーケンセツカブシキガイシャ,"SANYU CONSTRUCTION CO.,LTD.",サンユー建設,大田区南雪谷２丁目１７番８号,無,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,13277,7499
1844,株式会社大盛工業,カブシキガイシャオオモリコウギョウ,"OHMORI CO.,LTD.",大盛工業,千代田区神田多町二丁目１番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,7月31日,8854,4954
1847,株式会社イチケン,カブシキガイシャイチケン,"ICHIKEN Co., Ltd.",イチケン,港区芝浦一丁目１番１号,無,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,54028,88624
1848,株式会社富士ピー・エス,カブシキガイシャ　フジピーエス,FUJI P.S CORPORATION,富士ピー・エス,福岡市中央区薬院一丁目１３番８号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,25046,27693
1850,南海辰村建設株式会社,ナンカイタツムラケンセツカブシキガイシャ,"Nankai Tatsumura Construction Co., Ltd.",南海辰村建設,大阪市浪速区難波中三丁目５番１９号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,35999,44819
1852,株式会社淺沼組,カブシキガイシャアサヌマグミ,ASANUMA CORPORATION,淺沼組,大阪市浪速区湊町一丁目２番３号　マルイト難波ビル,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,92176,138934
1853,株式会社　森組,カブシキガイシャ　モリグミ,"Mori-Gumi Co.,Ltd.",森組,大阪市中央区道修町４丁目５番１７号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,23599,28579
1860,戸田建設株式会社,トダケンセツカブシキガイシャ,TODA CORPORATION,戸田建設,中央区京橋１－７－１,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,735789,507134
1861,株式会社　熊谷組,カブシキガイシャクマガイグミ,"Kumagaigumi Co.,Ltd.",熊谷組,福井市大手３丁目２番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,379573,450232
1866,北野建設株式会社,キタノケンセツカブシキガイシャ,KITANO CONSTRUCTION CORP.,北野建設,長野市県町５２４番地,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,69649,75265
1867,株式会社植木組,カブシキガイシャウエキグミ,UEKI  CORPORATION,植木組,柏崎市駅前１丁目５番４５号,有,スタンダード（内国株式）,2050,建設業,3,建設・資材,3月31日,45683,48847
1870,矢作建設工業株式会社,ヤハギケンセツコウギョウカブシキガイシャ,"YAHAGI CONSTRUCTION CO.,LTD.",矢作建設工業,名古屋市東区葵三丁目１９番７号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,129837,106615
1871,株式会社ピーエス三菱,カブシキガイシャピーエスミツビシ,"P.S.Mitsubishi Construction Co.,Ltd.",ピーエス三菱,中央区晴海二丁目５番２４号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,95423,117219
1873,株式会社日本ハウスホールディングス,カブシキガイシャニホンハウスホールディングス,"NIHON HOUSE HOLDINGS CO., LTD.",日本ハウスホールディングス,千代田区飯田橋四丁目３番８,有,プライム（内国株式）,2050,建設業,3,建設・資材,10月31日,43255,37149
1878,大東建託株式会社,ダイトウケンタクカブシキガイシャ,"DAITO TRUST CONSTRUCTION CO.,LTD.",大東建託,港区港南二丁目１６番１号,有,プライム（内国株式）,8050,不動産業,17,不動産,3月31日,919454,1488915
1879,新日本建設株式会社,シンニホンケンセツカブシキカイシャ,SHINNIHON CORPORATION,新日本建設,千葉市美浜区ひび野一丁目４番３,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,126552,101785
1882,東亜道路工業株式会社,トウアドウロコウギョウカブシキガイシャ,TOA ROAD CORPORATION,東亜道路工業,港区六本木七丁目３番７号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,87846,111801
1884,日本道路株式会社,ニッポンドウロカブシキガイシャ,"THE NIPPON ROAD CO.,LTD.",日本道路,港区新橋一丁目６番５号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,152917,157796
1885,東亜建設工業株式会社,トウアケンセツコウギョウカブシキガイシャ,TOA CORPORATION,東亜建設工業,新宿区西新宿三丁目７番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,204200,189712
1887,日本国土開発株式会社,ニホンコクドカイハツカブシキガイシャ,JDC CORPORATION,日本国土開発,港区赤坂四丁目９番９号,有,プライム（内国株式）,2050,建設業,3,建設・資材,5月31日,148766,117803
1888,若築建設株式会社,ワカチクケンセツカブシキガイシャ,"WAKACHIKU CONSTRUCTION CO.,LTD.",若築建設,北九州市若松区浜町１－４－７,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,91474,89822
1890,東洋建設株式会社,トウヨウケンセツカブシキガイシャ,"TOYO CONSTRUCTION CO.,LTD.",東洋建設,大阪市中央区高麗橋４丁目１番１号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,148953,172976
1893,五洋建設株式会社,ゴヨウケンセツカブシキガイシャ,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",五洋建設,文京区後楽二丁目２番８号,有,プライム（内国株式）,2050,建設業,3,建設・資材,3月31日,452248,471058
